longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-123.6636,36.0672,21,1290,1129,1203,484,70.7949,500000,NEAR BAY
-115.7754,33.8035,4,2002,333,1990,1001,58.0145,500000,<1H OCEAN
-116.1049,35.8495,36,1049,524,1265,787,33.441,500000,<1H OCEAN
-123.5337,39.9005,39,546,546,253,273,54.4044,500000,INLAND
-122.8677,38.4014,29,1892,1103,2031,473,95.7851,500000,INLAND
-120.7995,36.6554,2,1841,526,375,789,42.6229,500000,INLAND
-123.1533,40.2954,41,1159,1159,2442,1159,126.9262,500000,NEAR BAY
-116.7171,32.5394,23,1136,378,3209,568,16.4929,500000,<1H OCEAN
-119.2593,40.3527,14,360,90,2369,135,15.4628,459000,INLAND
-120.1924,33.0656,49,510,396,2060,170,73.3638,500000,<1H OCEAN
-117.0505,40.7676,44,276,83,3378,83,24.8123,500000,NEAR BAY
-121.371,41.5019,23,452,323,845,194,138.1842,500000,<1H OCEAN
-115.5847,40.2821,23,698,349,2731,524,90.4674,500000,INLAND
-117.7603,32.6861,47,870,248,805,373,105.1227,500000,<1H OCEAN
-120.8349,37.499,10,396,396,101,396,68.9407,500000,NEAR BAY
-118.9013,40.3736,21,2482,1551,919,931,23.3275,500000,<1H OCEAN
-121.7055,37.6777,30,1395,1395,1808,598,14.984,500000,NEAR OCEAN
-114.4502,35.9194,18,1776,592,316,888,99.4606,500000,<1H OCEAN
-119.944,36.9716,17,2243,1121,1047,673,16.4915,500000,<1H OCEAN
-115.3323,33.2666,6,1045,380,269,285,104.9534,500000,NEAR BAY
-114.5198,37.215,14,1900,2000,927,1140,60.6036,500000,<1H OCEAN
-118.9421,32.7645,19,1592,597,2547,597,38.7385,500000,INLAND
-117.0,38.6191,43,2696,1011,617,1011,52.8688,500000,INLAND
-118.5775,36.2093,18,429,268,996,161,53.6113,500000,<1H OCEAN
-123.3843,34.3178,9,2394,1368,561,1026,35.9144,500000,NEAR OCEAN
-114.7758,32.6651,44,1455,1746,1407,873,95.3923,500000,<1H OCEAN
-119.7336,41.2601,18,449,112,2687,337,93.4499,500000,INLAND
-115.3594,37.785,47,962,962,1927,962,44.5219,500000,NEAR BAY
-117.7439,38.6461,6,903,602,780,903,28.2923,500000,<1H OCEAN
-123.2481,39.9039,2,3949,718,1188,1077,88.7797,500000,INLAND
-120.1295,38.4526,48,291,97,2378,291,12.0498,470400,NEAR OCEAN
-122.3415,36.4245,6,4272,1068,1727,1068,52.9274,500000,INLAND
-122.6014,38.4621,1,3704,617,1663,926,63.2016,500000,INLAND
-117.1491,34.8989,33,730,876,3041,438,24.6697,500000,INLAND
-123.9998,37.8328,17,1054,602,2885,452,72.7375,500000,INLAND
-114.6386,34.4531,25,684,684,929,342,39.9151,500000,<1H OCEAN
-119.8008,41.2155,21,1395,1395,2494,598,29.2291,500000,<1H OCEAN
-119.4024,37.3409,16,2162,2000,2790,1081,72.2779,500000,INLAND
-121.3057,34.7215,25,2026,1013,3159,1013,21.1402,500000,INLAND
-123.4438,38.5765,14,723,506,997,217,68.3131,500000,NEAR OCEAN
-118.4176,33.358,12,469,201,2575,201,12.3441,433300,<1H OCEAN
-120.8525,36.6232,12,196,236,735,118,48.1349,500000,NEAR BAY
-118.0593,40.7267,7,1764,504,1611,756,41.6329,500000,<1H OCEAN
-118.7423,39.7947,27,1781,959,347,411,29.3346,500000,INLAND
-122.1309,39.1827,28,4004,924,2153,924,51.2318,500000,NEAR BAY
-119.6835,36.9707,1,924,1540,2426,924,38.6615,500000,INLAND
-121.2194,36.7454,24,831,277,1619,277,76.3557,500000,NEAR BAY
-121.9028,32.6074,38,3674,565,1499,848,56.7511,500000,<1H OCEAN
-116.603,38.2004,1,1548,929,922,929,53.2076,500000,INLAND
-124.1809,37.9816,16,1185,1975,2719,1185,48.3131,500000,<1H OCEAN
-121.6112,32.5502,50,1468,293,3195,881,30.5476,500000,INLAND
-118.9891,33.8019,22,926,308,551,463,33.8352,500000,NEAR BAY
-119.5385,32.6181,1,5195,2000,1037,1199,47.0643,500000,<1H OCEAN
-114.8983,34.9052,27,611,122,2151,367,36.5459,500000,INLAND
-115.8634,32.5366,21,1952,1952,1343,976,79.0007,500000,NEAR OCEAN
-116.784,36.465,11,806,484,144,484,42.8907,500000,NEAR BAY
-119.1592,37.0257,4,2625,1125,170,1125,50.8137,500000,<1H OCEAN
-120.0109,36.6523,46,4112,949,895,949,17.4786,500000,INLAND
-123.9343,34.3942,42,739,739,3389,739,71.4161,500000,NEAR OCEAN
-116.0833,37.4738,35,789,493,2172,296,28.6136,500000,INLAND
-119.9929,40.2339,1,798,532,967,266,21.6931,500000,INLAND
-121.0903,35.2665,45,1518,1139,290,1139,108.8855,500000,<1H OCEAN
-118.2337,35.4695,25,971,647,2671,971,61.6306,500000,INLAND
-116.7586,37.6568,25,2769,213,1382,639,72.8821,500000,INLAND
-119.0695,34.7207,45,1765,2000,1438,1059,53.2652,500000,INLAND
-122.8042,35.709,23,1583,2000,2009,950,38.3477,500000,INLAND
-115.0835,36.7982,13,990,165,876,495,34.2889,500000,INLAND
-123.1715,36.1699,13,1001,1668,2573,1001,64.7188,500000,INLAND
-114.6043,40.2732,48,1286,643,1166,965,80.0056,500000,NEAR BAY
-119.8752,40.5654,28,600,400,2499,600,38.9265,500000,<1H OCEAN
-114.8338,36.3273,30,192,144,1859,72,140.627,500000,NEAR OCEAN
-115.1535,36.754,31,2405,601,603,902,36.0243,500000,<1H OCEAN
-120.2373,41.5905,12,880,440,2219,440,17.5698,500000,NEAR BAY
-116.2997,37.2793,22,2032,156,355,469,14.4352,500000,<1H OCEAN
-123.4023,41.9338,49,1740,2000,2531,870,14.7305,440000,INLAND
-123.4727,39.7466,8,982,2000,1379,982,31.6361,500000,INLAND
-120.7404,35.0102,49,201,352,2379,151,35.282,500000,INLAND
-118.2021,34.6764,14,3323,664,918,997,61.0776,500000,NEAR BAY
-124.2068,34.0111,16,1029,257,1484,386,39.8619,500000,<1H OCEAN
-119.1482,40.1584,1,1168,1635,1139,701,67.2628,500000,NEAR BAY
-114.5435,35.4152,34,1746,1746,953,1048,41.6591,500000,NEAR OCEAN
-115.7155,38.92,17,500,200,1264,300,40.8823,500000,NEAR BAY
-121.9753,37.6313,24,709,101,282,304,28.6764,500000,INLAND
-119.0193,40.347,30,3883,2000,1450,1165,95.2151,500000,INLAND
-122.5859,39.6328,33,1593,956,518,478,16.1787,431400,INLAND
-121.6674,33.1056,49,4176,379,1863,1139,48.5877,500000,INLAND
-115.07,35.7151,29,460,613,408,460,36.3646,500000,INLAND
-114.3222,37.4409,10,2286,1016,131,762,64.8215,500000,INLAND
-121.8744,40.1346,36,2332,848,1592,636,40.0483,500000,NEAR BAY
-122.1793,39.2833,3,1968,1181,1113,1181,40.7629,500000,<1H OCEAN
-120.4614,37.7193,44,2046,682,3081,682,34.5567,500000,<1H OCEAN
-119.8414,40.1796,16,628,628,998,628,93.554,500000,<1H OCEAN
-123.4075,36.6318,37,2539,1367,1457,586,40.6106,500000,INLAND
-122.8229,33.0288,8,1763,1122,903,481,132.2079,500000,<1H OCEAN
-120.0517,40.7701,21,1668,185,3124,556,47.7478,500000,INLAND
-121.9458,37.5026,36,1737,1158,2781,579,41.0849,500000,NEAR BAY
-115.8507,40.1798,32,3093,1546,684,928,37.1658,500000,INLAND
-116.7845,36.2248,1,238,68,954,102,56.8908,500000,<1H OCEAN
-118.9366,38.0912,2,2712,417,733,626,28.4899,500000,<1H OCEAN
-119.9737,35.6454,51,1135,1362,613,681,44.2578,500000,<1H OCEAN
-115.9901,36.391,27,3358,916,918,916,40.7505,500000,INLAND
-122.64,33.9003,44,2992,272,2996,816,49.2906,500000,<1H OCEAN
-115.4261,39.5452,4,2184,1274,1660,546,50.029,500000,INLAND
-123.8092,35.1627,26,175,408,1402,175,51.6134,500000,INLAND
-115.0661,35.3664,30,1113,477,748,477,42.9282,500000,NEAR OCEAN
-122.9119,35.8648,47,1143,343,725,343,103.9543,500000,INLAND
-116.179,36.6052,37,852,284,1987,284,52.2545,500000,INLAND
-124.1195,37.9736,33,2930,586,2654,879,150.0,500000,INLAND
-116.1492,38.9867,15,1797,199,1996,599,41.7833,500000,<1H OCEAN
-118.4593,38.9191,51,1603,641,2334,962,72.0913,500000,INLAND
-124.1097,36.525,17,836,209,989,209,26.2314,500000,<1H OCEAN
-116.5579,37.078,15,3154,788,3314,1183,93.9778,500000,INLAND
-123.2844,33.833,37,2574,198,2896,594,26.5762,500000,NEAR BAY
-118.9009,37.4543,51,909,795,3084,341,53.3094,500000,<1H OCEAN
-120.98,40.832,44,1245,1089,2369,467,34.6026,500000,INLAND
-116.7083,36.8743,10,3051,1017,2460,1017,53.1857,500000,<1H OCEAN
-115.7678,41.4111,42,3464,1443,340,866,35.2233,500000,<1H OCEAN
-119.6572,33.9799,19,988,82,647,247,25.2552,500000,<1H OCEAN
-116.7206,39.5006,12,3564,2000,550,1188,34.4542,500000,INLAND
-115.1338,39.2259,48,600,400,1742,200,102.2615,500000,<1H OCEAN
-117.408,38.9745,49,366,244,2099,366,53.6752,500000,<1H OCEAN
-121.0801,38.7971,19,888,592,503,888,18.7141,500000,ISLAND
-119.6669,32.7119,2,2416,659,2655,659,78.2426,500000,NEAR OCEAN
-122.0,39.5502,11,1124,187,1967,562,23.7522,500000,NEAR BAY
-119.7159,37.247,28,2601,1115,2124,1115,63.3453,500000,<1H OCEAN
-121.8411,37.4798,4,2889,1605,3217,963,56.5138,500000,NEAR BAY
-116.2275,32.9833,12,1926,2000,2087,1156,58.696,500000,NEAR OCEAN
-118.2008,34.2896,8,748,124,112,374,123.285,500000,<1H OCEAN
-117.9675,41.1546,49,1028,1028,2713,1028,24.6654,500000,<1H OCEAN
-123.1974,35.4975,19,1081,590,3078,295,58.5021,500000,<1H OCEAN
-124.2854,36.2419,20,2602,2000,384,976,86.3439,500000,INLAND
-116.4081,34.2974,22,1135,908,1933,681,27.5659,500000,NEAR BAY
-118.8769,38.5058,1,2211,1474,1697,737,25.9231,500000,INLAND
-114.9845,39.5367,28,242,121,614,182,34.1333,500000,<1H OCEAN
-118.9276,41.252,47,3890,2000,1038,1061,49.2754,500000,INLAND
-122.1532,37.8396,42,616,493,3009,370,17.397,500000,INLAND
-117.3152,35.1185,13,1228,1228,1431,737,56.454,500000,<1H OCEAN
-117.2902,33.1742,1,964,160,1925,241,17.4189,500000,NEAR BAY
-123.6447,35.028,40,4084,742,2742,1114,88.1098,500000,<1H OCEAN
-117.3635,38.3745,43,1393,557,1623,418,55.1935,500000,INLAND
-122.1747,41.754,48,2781,1236,3130,927,127.8003,500000,NEAR BAY
-121.7548,33.2524,30,2480,1550,1799,930,60.5734,500000,INLAND
-123.9859,36.1895,25,1136,1364,3451,682,33.7753,500000,<1H OCEAN
-118.0263,38.8387,39,376,376,601,188,25.1128,500000,INLAND
-116.9827,37.9584,36,1607,371,3119,371,46.8017,500000,INLAND
-121.9951,38.6911,39,3263,1004,483,753,39.8226,500000,NEAR BAY
-116.3746,36.9005,15,2220,222,2864,666,82.6214,500000,<1H OCEAN
-116.6797,35.0368,47,2888,1444,2349,722,23.2293,500000,INLAND
-120.2023,37.0861,2,1232,112,2002,336,136.3365,500000,<1H OCEAN
-123.6177,36.1246,5,1558,222,3093,668,87.1344,500000,INLAND
-121.4981,39.2383,34,493,197,2278,148,35.8904,500000,NEAR OCEAN
-122.6457,34.1304,30,2222,1414,2461,606,119.2566,500000,NEAR BAY
-114.7118,37.2134,29,206,155,2664,155,25.3482,500000,<1H OCEAN
-116.1226,41.6111,47,3523,542,2958,813,45.8759,500000,<1H OCEAN
-123.5162,37.552,45,1869,467,889,701,18.8536,500000,NEAR BAY
-119.1654,34.7535,37,2058,2000,2972,1029,122.7963,500000,NEAR OCEAN
-121.6311,41.3906,9,1549,968,2102,581,15.0918,500000,NEAR OCEAN
-123.9788,34.8195,5,472,314,208,236,17.087,500000,<1H OCEAN
-121.077,39.6362,8,640,746,3222,320,27.709,500000,NEAR OCEAN
-123.0241,33.5405,32,2958,328,2721,986,89.6559,500000,NEAR BAY
-122.0727,40.5949,37,4987,1918,3131,1151,71.9155,500000,ISLAND
-121.0346,34.2155,41,280,120,2725,120,43.6331,500000,INLAND
-120.2111,36.2447,6,1378,551,1274,827,74.7344,500000,<1H OCEAN
-119.6156,41.6734,15,2214,1409,1289,604,37.8389,500000,INLAND
-119.098,38.0042,18,692,807,1040,346,52.2501,500000,INLAND
-120.6,35.008,33,1701,1276,1493,638,109.248,500000,<1H OCEAN
-119.3165,32.506,3,1876,750,218,1126,34.9743,500000,<1H OCEAN
-120.1214,32.5645,43,461,554,2634,277,25.6043,500000,INLAND
-114.6556,35.1086,5,1686,1012,2658,1012,53.775,500000,NEAR BAY
-123.6236,37.5051,27,306,153,3454,153,63.2282,500000,NEAR BAY
-118.4405,37.1065,48,3804,585,1972,878,43.3304,500000,<1H OCEAN
-122.3635,41.2579,10,453,226,3458,136,74.0406,500000,INLAND
-120.5456,39.7589,36,396,277,813,119,35.9392,500000,<1H OCEAN
-118.8353,41.285,29,92,61,1711,92,43.7772,500000,<1H OCEAN
-116.7019,37.3619,42,975,1300,2760,975,50.7712,500000,<1H OCEAN
-114.5227,36.7433,30,1418,1181,2784,709,48.1828,500000,<1H OCEAN
-119.3638,37.8778,44,3372,1405,2730,843,106.7562,500000,INLAND
-121.7302,36.0354,21,228,152,1684,228,50.6186,500000,NEAR BAY
-116.3842,34.5027,9,4066,369,348,1109,33.7927,500000,INLAND
-122.0843,40.4483,35,3920,1960,3044,980,55.6663,500000,<1H OCEAN
-119.2216,38.9651,50,1222,1018,1396,611,74.284,500000,INLAND
-115.8329,35.5938,23,1444,1805,2309,1083,64.5298,500000,<1H OCEAN
-120.262,36.7397,42,285,285,553,214,62.419,500000,INLAND
-118.7302,34.6418,45,386,386,3284,386,16.5065,500000,NEAR BAY
-123.1045,37.847,33,420,70,973,105,9.0891,303800,NEAR OCEAN
-123.7403,35.9044,41,876,398,3490,239,87.1599,500000,<1H OCEAN
-114.4372,40.818,29,3390,2000,2532,1017,52.7677,500000,NEAR BAY
-122.511,37.5194,42,521,521,1222,521,40.0304,500000,INLAND
-120.9445,36.4114,18,3432,264,1356,792,61.5083,500000,<1H OCEAN
-119.2532,39.6214,27,3543,708,3429,1063,128.8915,500000,<1H OCEAN
-120.5553,41.0985,4,3712,1546,2118,928,94.699,500000,INLAND
-123.3266,40.2655,11,1187,339,2454,509,72.2345,500000,INLAND
-122.3309,37.2017,30,750,900,2182,450,23.8206,500000,INLAND
-119.3655,35.8862,37,696,116,909,174,25.752,500000,NEAR OCEAN
-119.912,38.7902,2,1004,1338,550,1004,9.6866,383400,<1H OCEAN
-116.3181,40.2602,4,1970,788,110,1182,59.305,500000,NEAR BAY
-121.1821,41.7971,1,833,833,1476,625,78.8669,500000,INLAND
-114.8968,36.8439,27,624,1040,2425,624,82.8219,500000,<1H OCEAN
-121.4719,38.8483,18,3075,2000,1125,1025,60.8154,500000,NEAR BAY
-120.987,35.2845,3,738,886,856,443,36.9714,500000,NEAR BAY
-114.8069,33.3309,41,2240,689,1421,517,28.9051,500000,<1H OCEAN
-115.8952,34.904,27,4667,1436,886,1077,24.7139,500000,<1H OCEAN
-121.1303,32.6377,1,648,486,1578,486,36.7644,500000,<1H OCEAN
-120.3472,37.3396,35,4464,2000,1977,1116,22.5535,500000,INLAND
-115.8774,36.045,47,235,470,1026,235,116.2982,500000,INLAND
-123.4391,38.9436,22,1242,1449,205,621,18.5628,500000,NEAR OCEAN
-121.3532,38.3455,49,2043,1226,446,613,36.03,500000,NEAR BAY
-118.9844,34.0947,22,670,134,1515,402,12.6905,491800,NEAR BAY
-116.011,38.9013,4,1157,771,703,1157,48.4493,500000,INLAND
-118.6538,34.2803,7,806,806,2817,605,40.494,500000,NEAR BAY
-119.4022,32.5566,4,3533,1060,660,1060,32.7372,500000,<1H OCEAN
-114.6788,41.7168,16,503,704,192,302,23.1713,500000,INLAND
-123.1359,32.7564,20,751,601,2205,451,40.6119,500000,INLAND
-116.4993,35.7466,23,998,399,2221,599,29.2508,500000,<1H OCEAN
-123.0297,38.5564,25,2792,1163,2384,698,37.3549,500000,INLAND
-116.9717,36.0186,45,1252,313,638,313,131.242,500000,INLAND
-118.8691,36.1215,1,1503,136,2414,410,44.9653,500000,INLAND
-121.6535,39.3659,46,765,1785,3033,765,55.8297,500000,<1H OCEAN
-118.8666,38.2205,13,616,863,2156,370,30.6891,500000,INLAND
-115.5058,37.4246,49,3692,1846,1428,923,25.3283,500000,INLAND
-119.5782,40.92,7,1794,598,1737,598,39.9972,500000,<1H OCEAN
-124.2342,33.5271,6,1164,2000,2861,1164,150.0,500000,INLAND
-123.7339,36.9628,7,538,323,586,323,34.1284,500000,INLAND
-117.9736,34.7711,16,4072,2000,2560,1018,50.3726,500000,<1H OCEAN
-117.5207,32.8497,49,2452,1430,1016,613,24.669,500000,<1H OCEAN
-120.2823,41.8008,24,347,99,3084,149,7.7634,293400,<1H OCEAN
-121.8722,39.4733,9,1146,860,575,860,25.2465,500000,INLAND
-117.1403,34.5538,33,293,488,1857,293,150.0,500000,NEAR BAY
-121.2584,36.3231,26,348,139,1461,209,57.9638,500000,<1H OCEAN
-123.5599,34.6472,36,2423,1322,1752,661,108.5423,500000,<1H OCEAN
-120.2039,39.0061,38,3812,1588,1399,953,32.9158,500000,INLAND
-118.9086,35.8292,41,576,230,227,346,9.86,282600,INLAND
-114.6437,41.2387,8,3319,1532,3016,766,20.8501,500000,<1H OCEAN
-118.3778,34.4718,26,264,22,1914,66,51.4598,500000,<1H OCEAN
-122.2168,35.8233,33,1135,262,2141,262,46.7659,500000,<1H OCEAN
-115.9781,41.3522,29,3366,612,1874,918,40.2992,500000,<1H OCEAN
-121.3852,40.9045,50,192,21,1897,64,29.5013,500000,INLAND
-114.7072,35.2851,49,1997,922,2161,461,71.2657,500000,NEAR BAY
-121.0469,37.0892,42,2113,422,1526,634,30.0174,500000,INLAND
-115.2048,40.8952,13,504,210,545,126,48.7778,500000,INLAND
-115.5105,38.871,27,2741,391,199,1175,45.5943,500000,NEAR OCEAN
-115.6601,38.5542,41,1058,1481,1935,635,32.5079,500000,<1H OCEAN
-123.9061,38.7753,14,1317,1024,732,439,23.8983,500000,<1H OCEAN
-115.8013,41.2493,37,2737,1173,1643,1173,31.3805,500000,NEAR BAY
-117.087,37.4132,13,1384,922,2157,692,124.8057,500000,NEAR OCEAN
-120.957,34.2269,8,2766,1383,2126,830,79.0479,500000,INLAND
-119.399,36.9909,13,459,255,672,153,74.8,500000,INLAND
-117.9008,39.4244,48,464,77,2345,232,25.2975,500000,INLAND
-114.8646,37.1753,51,168,235,3298,101,17.1153,500000,<1H OCEAN
-116.4992,35.476,44,1923,1495,1328,641,78.2948,500000,INLAND
-120.015,38.8301,14,2022,1348,502,1011,69.7868,500000,INLAND
-117.8458,36.7772,40,1810,1448,1813,1086,44.0328,500000,NEAR BAY
-122.4413,41.6468,12,1183,473,2197,710,32.4682,500000,NEAR OCEAN
-120.0606,35.8453,7,373,224,1443,112,16.8478,500000,NEAR OCEAN
-116.387,39.3161,14,1796,1026,2137,770,68.2396,500000,NEAR OCEAN
-118.2341,37.7732,8,1566,522,2702,783,82.6212,500000,INLAND
-116.4675,33.2369,33,981,736,2065,736,26.9809,500000,<1H OCEAN
-119.2018,36.9627,35,879,293,2807,879,25.6624,500000,INLAND
-120.4986,32.7771,2,2300,1380,596,690,85.3894,500000,NEAR BAY
-116.8746,40.0034,6,3722,286,1096,859,27.5904,500000,INLAND
-123.3625,39.478,25,1218,812,1988,609,117.9217,500000,NEAR BAY
-114.5139,32.9799,6,888,444,982,222,37.9836,500000,INLAND
-114.8163,37.2471,43,423,47,3480,141,32.1576,500000,<1H OCEAN
-115.4963,41.6346,21,2186,728,2406,1093,41.6645,500000,NEAR BAY
-115.4572,35.2041,22,1671,1114,1500,557,32.1562,500000,NEAR BAY
-119.1894,41.0909,1,560,840,2731,420,79.7034,500000,INLAND
-119.3205,33.9354,36,774,129,3443,387,68.9976,500000,<1H OCEAN
-116.0992,32.5627,37,399,72,136,109,77.9018,500000,<1H OCEAN
-121.4674,37.54,39,4544,1893,1993,1136,45.2995,500000,NEAR BAY
-115.8009,34.7728,28,241,193,1553,145,30.8388,500000,<1H OCEAN
-122.2912,40.8526,14,1304,401,2667,301,40.3321,500000,NEAR OCEAN
