survived,pclass,class,sex,age,sibsp,parch,fare,embarked
0,3,Third,female,41.5,1,1,16.8443,S
0,2,Second,male,5.3,1,0,0.6481,S
0,3,Third,female,41.6,1,2,28.2011,S
0,3,Third,male,20.6,1,1,8.2279,C
0,2,Second,male,40.2,0,0,34.6569,S
0,3,Third,male,6.5,0,1,11.7682,S
0,1,First,male,38.1,0,2,131.7032,S
0,3,Third,male,28.3,0,0,19.7101,C
0,3,Third,male,41.2,1,0,8.4756,Q
1,3,Third,female,2.8,2,0,23.9191,S
0,3,Third,male,25.4,1,0,5.4102,S
1,2,Second,female,14.8,0,0,31.1131,S
1,3,Third,female,32.1,0,0,9.0979,S
0,3,Third,male,35.9,0,0,16.4956,S
0,3,Third,male,43.0,1,0,8.3801,S
0,3,Third,male,17.5,0,0,13.4998,C
0,2,Second,male,43.0,3,0,7.029,S
1,3,Third,female,44.1,0,0,15.4756,S
1,3,Third,female,2.0,0,0,13.4419,S
1,2,Second,male,38.6,1,0,13.978,S
1,3,Third,male,38.4,0,0,12.4497,S
1,3,Third,female,21.4,3,0,14.34,S
0,3,Third,female,8.0,0,2,6.8364,S
0,3,Third,male,38.2,0,0,11.7124,S
1,2,Second,female,13.2,0,0,7.9278,S
0,3,Third,male,22.5,1,0,36.4573,S
0,1,First,male,37.4,0,0,166.6113,S
1,3,Third,male,35.0,1,0,15.7309,S
0,3,Third,male,16.2,1,0,24.7211,S
0,3,Third,female,15.4,0,0,6.7925,S
0,3,Third,male,26.4,1,0,12.5768,S
0,3,Third,male,39.1,2,0,9.0071,S
0,3,Third,male,57.0,0,0,0.7856,Q
0,2,Second,male,8.9,1,0,17.9241,S
0,3,Third,male,29.4,0,2,15.0566,S
0,3,Third,male,9.8,0,0,22.2041,S
1,1,First,female,52.3,0,2,4.7846,C
0,3,Third,male,11.9,1,0,16.9963,S
1,3,Third,female,15.6,0,0,13.1439,Q
0,3,Third,male,16.8,0,0,16.4751,S
1,3,Third,female,23.9,1,0,7.8023,C
1,2,Second,female,34.5,0,0,38.9808,S
0,3,Third,male,31.8,1,1,11.9649,S
1,1,First,male,37.9,2,0,222.3862,S
1,2,Second,female,11.4,0,0,10.7249,S
0,3,Third,male,35.2,0,0,20.4283,C
0,2,Second,male,29.3,4,0,20.2243,C
0,1,First,male,54.3,0,0,58.4361,S
0,3,Third,male,15.1,0,0,19.3232,S
0,2,Second,male,7.6,3,0,17.1107,S
1,2,Second,female,29.5,2,0,13.6055,S
0,2,Second,male,48.1,0,0,18.8173,S
0,3,Third,female,27.3,0,0,25.7242,S
1,2,Second,female,27.2,2,0,36.9934,S
0,3,Third,male,12.8,0,0,31.8734,C
0,3,Third,male,49.6,0,2,12.8247,C
1,1,First,male,23.6,1,3,16.8255,C
0,3,Third,male,14.8,0,0,8.8042,S
0,1,First,male,46.0,0,0,84.8911,Q
0,3,Third,male,1.0,0,1,2.9296,S
0,1,First,male,55.8,0,0,212.5888,S
1,3,Third,female,33.7,0,0,35.395,S
1,2,Second,male,42.6,0,0,27.2176,C
0,3,Third,male,32.8,0,0,12.8914,S
0,2,Second,male,27.7,1,3,4.1654,C
0,3,Third,male,10.1,0,0,28.4643,S
0,2,Second,female,28.0,0,3,21.992,C
1,1,First,male,24.3,0,0,61.4452,S
0,2,Second,male,36.8,0,0,27.2553,Q
0,3,Third,male,36.3,1,0,7.1429,S
1,3,Third,male,45.7,0,0,14.4688,S
0,3,Third,male,30.2,0,0,1.4247,S
0,3,Third,male,37.9,1,0,23.8709,S
0,3,Third,female,20.8,0,0,11.9559,S
1,2,Second,female,23.3,0,0,36.0644,S
1,3,Third,male,31.6,1,0,10.9886,S
1,3,Third,female,19.6,0,0,11.638,C
1,3,Third,male,28.8,1,0,0.8768,S
0,3,Third,female,10.1,1,0,20.5976,C
0,3,Third,male,12.7,2,0,4.2416,S
0,3,Third,male,33.9,0,0,8.1358,S
0,3,Third,male,37.4,1,0,13.0105,C
0,1,First,male,24.2,1,2,93.4555,S
1,3,Third,female,34.4,0,0,4.061,S
0,3,Third,male,17.5,2,0,10.6919,S
0,3,Third,male,25.2,0,0,20.9523,S
0,3,Third,male,44.8,1,1,9.2166,S
1,1,First,female,49.3,0,0,66.4709,S
1,1,First,female,49.1,0,0,96.6677,C
1,1,First,male,64.7,0,0,74.1751,S
0,3,Third,male,15.1,2,0,2.6948,S
0,1,First,male,24.2,0,2,81.165,S
0,3,Third,female,14.9,0,0,22.9407,S
1,3,Third,female,21.4,0,0,2.4882,S
0,3,Third,male,1.0,1,0,9.2552,Q
1,2,Second,female,27.1,0,0,3.0388,S
0,3,Third,male,17.4,0,0,22.4138,S
1,1,First,female,49.0,1,3,76.7961,C
0,3,Third,male,29.9,0,3,4.498,S
0,1,First,male,29.6,0,1,91.1967,S
0,1,First,male,46.3,0,0,9.8808,S
1,1,First,male,48.1,2,2,3.3873,S
0,3,Third,female,14.2,1,0,1.6013,S
1,1,First,male,31.1,0,0,0.7912,C
1,3,Third,female,1.0,0,0,26.5734,S
1,3,Third,female,9.7,0,0,5.6688,S
0,3,Third,female,14.6,3,1,17.6623,S
1,1,First,female,39.0,0,3,18.7685,C
0,1,First,male,24.8,0,1,143.2436,S
1,2,Second,male,22.8,2,1,7.6609,C
0,1,First,male,20.8,0,0,87.0598,S
0,3,Third,male,27.4,0,0,13.5285,C
1,2,Second,female,36.0,0,1,51.2615,S
0,2,Second,male,35.6,0,0,29.1955,S
1,1,First,male,38.2,0,2,37.7535,S
0,3,Third,male,3.4,3,0,19.8505,C
0,1,First,male,29.3,0,0,250.7776,S
0,3,Third,female,19.3,0,0,3.2964,S
1,1,First,male,32.4,1,0,18.2864,S
1,3,Third,female,26.0,1,1,10.631,S
0,3,Third,male,45.0,1,2,8.8291,Q
1,1,First,female,49.4,1,0,58.045,C
0,1,First,male,24.2,0,0,17.7301,S
0,2,Second,male,39.5,0,0,39.2514,S
0,1,First,male,47.0,0,0,26.9635,S
0,1,First,male,26.7,0,0,68.3834,C
0,3,Third,female,36.9,2,0,23.4583,S
0,3,Third,male,22.8,1,0,12.6982,S
1,1,First,male,18.3,0,0,7.6073,S
0,3,Third,female,31.4,0,0,0.4868,S
1,2,Second,male,33.0,2,1,18.01,S
0,3,Third,male,21.8,0,0,5.4297,S
1,1,First,female,37.5,0,0,100.008,Q
0,3,Third,male,14.9,0,0,1.0145,S
1,3,Third,female,33.5,0,1,21.1304,S
0,1,First,male,37.4,0,1,93.0129,S
1,1,First,female,40.3,4,0,98.8072,S
1,2,Second,female,35.0,0,0,39.734,S
0,3,Third,female,8.8,0,2,8.622,S
0,3,Third,male,12.5,1,0,5.7418,C
1,3,Third,female,1.0,0,0,7.5224,S
0,3,Third,male,32.9,1,3,11.0747,Q
0,3,Third,female,8.0,0,0,12.0904,S
0,3,Third,male,26.9,0,0,4.693,S
0,3,Third,male,30.2,0,1,7.2309,S
0,3,Third,female,33.4,1,0,7.3907,S
1,2,Second,male,13.1,1,0,25.6777,C
1,3,Third,male,,1,0,14.3626,S
1,1,First,female,61.4,0,1,177.5652,S
1,1,First,male,62.0,0,2,236.528,S
0,3,Third,male,38.8,1,1,20.5933,S
0,2,Second,male,34.7,0,0,38.9728,Q
1,1,First,male,23.9,1,0,143.8084,S
1,1,First,male,48.1,0,2,217.3721,S
0,3,Third,male,22.8,0,0,31.5085,Q
0,3,Third,male,,1,0,22.5117,C
0,1,First,male,29.1,0,0,139.0977,C
0,1,First,male,35.6,0,1,67.9919,S
0,3,Third,male,27.3,0,0,12.5866,S
0,3,Third,male,28.4,2,0,9.6216,S
0,2,Second,male,36.9,0,2,29.0763,S
0,3,Third,male,16.9,1,2,5.7965,S
1,3,Third,female,6.2,1,3,11.0889,S
0,2,Second,male,52.7,0,0,9.6172,S
0,3,Third,male,59.8,2,0,30.2309,S
0,3,Third,male,31.3,1,0,10.7953,S
1,3,Third,male,6.5,0,0,17.5558,S
1,2,Second,female,19.2,3,1,39.9512,S
1,3,Third,female,32.1,0,0,16.0029,S
0,3,Third,female,43.8,0,0,27.4434,C
0,3,Third,male,8.0,0,0,0.5826,S
1,3,Third,male,23.3,0,0,36.9738,S
0,3,Third,male,27.7,0,1,23.8711,S
0,3,Third,male,37.1,0,0,15.092,S
0,3,Third,male,20.2,0,0,27.2508,S
1,1,First,male,16.1,0,0,7.1535,S
1,1,First,male,46.7,0,0,61.488,Q
1,2,Second,female,45.7,1,0,39.7753,S
1,3,Third,male,23.8,0,2,5.6706,S
0,2,Second,male,35.7,0,0,28.286,C
1,3,Third,female,18.4,0,0,18.3218,S
1,1,First,female,26.2,0,1,237.5996,S
0,2,Second,male,44.4,0,0,0.4216,S
0,3,Third,male,30.4,0,0,29.0963,Q
0,1,First,male,44.9,0,0,40.3613,S
0,3,Third,male,46.0,1,0,8.5299,S
1,1,First,male,23.2,0,0,11.3163,C
0,3,Third,male,17.3,0,1,2.1215,S
0,1,First,male,40.2,1,2,115.4747,C
1,3,Third,male,17.1,0,0,1.8767,S
1,3,Third,female,36.0,0,0,20.4028,S
1,1,First,female,35.4,0,0,32.2886,S
1,1,First,male,24.1,0,0,10.6166,Q
0,1,First,male,38.9,0,0,42.8309,S
0,3,Third,male,27.4,0,0,16.3671,S
1,3,Third,female,38.1,0,0,10.2265,Q
0,2,Second,female,35.5,4,2,21.4447,S
1,2,Second,female,36.5,0,1,30.0507,C
0,3,Third,male,29.5,0,0,23.8242,S
0,3,Third,male,22.4,0,1,9.899,S
0,3,Third,male,15.0,1,0,2.5578,C
0,3,Third,male,29.0,0,0,13.7609,C
1,3,Third,female,20.3,0,0,17.7065,S
0,3,Third,male,48.7,0,0,1.6073,Q
0,2,Second,male,48.8,1,0,9.4221,Q
1,1,First,male,46.9,0,0,27.9034,C
0,1,First,male,43.3,0,0,67.7899,S
0,3,Third,male,23.8,0,0,5.3897,S
0,2,Second,male,12.3,0,0,30.1915,S
0,3,Third,female,22.0,0,0,3.0513,S
1,3,Third,female,26.4,1,0,2.7972,S
0,3,Third,female,28.2,0,0,9.6611,S
0,3,Third,male,31.6,1,0,11.2435,S
0,2,Second,male,42.9,2,0,2.0896,S
0,3,Third,male,15.3,0,0,6.9325,S
0,1,First,male,28.4,0,0,52.7186,S
0,3,Third,male,45.3,0,1,9.067,S
0,3,Third,male,35.8,0,0,14.5188,Q
0,3,Third,male,19.5,0,0,6.3842,S
0,3,Third,male,23.5,0,0,27.7784,S
0,2,Second,female,28.6,2,0,27.3467,S
0,3,Third,male,25.4,0,0,4.9289,S
1,3,Third,male,31.6,1,0,13.9451,S
0,3,Third,male,60.5,0,1,14.2402,C
0,1,First,male,40.7,0,0,178.7483,S
1,1,First,female,47.3,0,0,37.1702,S
0,3,Third,male,1.4,0,0,20.6734,S
1,1,First,female,31.2,0,0,87.2646,C
0,3,Third,female,42.2,0,1,27.9157,Q
0,3,Third,male,30.6,0,0,25.9089,C
0,3,Third,male,1.0,0,0,14.9698,S
1,1,First,male,47.4,0,1,63.542,C
0,3,Third,male,51.9,0,0,18.0661,S
1,1,First,male,10.1,0,0,69.9249,S
0,3,Third,female,46.3,4,0,29.8031,Q
0,3,Third,male,1.0,0,0,13.7847,S
1,1,First,female,51.1,0,0,52.3599,Q
1,1,First,male,37.9,0,3,48.15,S
1,1,First,female,5.1,0,0,10.6168,S
0,3,Third,male,31.2,1,0,18.5656,S
0,3,Third,male,,0,0,4.7999,C
1,1,First,male,43.1,0,0,169.6556,S
1,1,First,male,46.2,0,0,16.8489,C
1,3,Third,female,19.2,0,0,14.2724,S
0,1,First,male,11.9,2,0,173.7175,C
0,3,Third,male,34.7,4,1,8.5225,S
0,3,Third,male,49.5,0,0,33.1827,S
0,3,Third,male,40.8,0,0,8.7471,S
0,3,Third,male,1.0,0,1,14.411,S
0,3,Third,male,3.8,0,1,18.7145,S
0,3,Third,male,13.2,0,1,20.2613,S
0,1,First,male,15.7,0,1,105.3629,S
0,1,First,male,38.6,0,0,161.796,Q
1,3,Third,female,30.5,0,0,18.1907,S
0,1,First,male,18.0,0,2,221.3487,C
0,3,Third,male,35.9,5,0,18.2233,S
0,3,Third,male,33.4,2,0,32.6464,C
0,3,Third,male,17.3,0,3,22.0108,S
1,2,Second,male,27.6,0,0,2.4748,S
0,3,Third,male,1.0,0,0,39.111,S
0,3,Third,male,20.3,1,0,7.2566,S
0,2,Second,male,30.1,0,0,40.4421,S
0,3,Third,male,27.4,1,0,13.2679,S
1,3,Third,female,30.3,0,0,23.6109,C
0,3,Third,male,28.4,0,2,6.1152,S
0,3,Third,male,21.3,4,0,19.2574,S
1,1,First,male,42.0,0,0,64.2511,Q
0,3,Third,male,39.0,0,1,28.79,S
0,3,Third,female,23.7,1,1,17.3867,S
1,1,First,male,42.4,1,0,157.0035,Q
0,2,Second,male,27.4,0,0,7.133,C
0,2,Second,male,20.9,1,0,19.8876,Q
0,1,First,male,45.3,1,1,116.023,C
1,3,Third,female,17.2,0,0,15.2361,S
1,1,First,male,43.4,0,0,158.9703,S
0,3,Third,female,25.4,1,0,9.341,S
1,1,First,male,33.7,1,0,87.8054,Q
1,3,Third,female,20.4,0,0,24.8123,C
1,1,First,male,30.9,0,1,93.7377,S
0,3,Third,male,2.0,1,1,18.8935,S
0,1,First,female,43.4,0,0,57.957,S
0,3,Third,male,28.2,0,0,3.8768,S
0,2,Second,male,41.9,1,0,25.3751,C
0,1,First,female,30.6,0,0,179.7412,S
0,3,Third,male,51.5,0,0,23.3914,S
1,3,Third,female,19.7,0,0,11.6489,Q
0,3,Third,male,12.7,0,0,21.7574,S
0,2,Second,female,16.1,1,0,32.2849,S
0,1,First,female,13.7,0,0,77.185,S
0,3,Third,male,46.5,0,0,6.0692,S
0,3,Third,male,44.2,0,0,6.6477,S
0,1,First,male,46.4,0,0,149.3526,S
0,3,Third,male,12.5,0,0,12.5785,S
0,3,Third,female,50.4,0,0,2.5382,S
0,3,Third,male,20.1,0,2,3.8486,S
0,2,Second,male,26.2,0,1,31.8138,S
0,2,Second,male,50.1,0,0,13.8919,Q
1,1,First,male,47.2,0,0,109.7702,S
0,3,Third,female,55.8,0,0,25.3971,S
1,1,First,male,41.5,0,0,18.0961,C
0,3,Third,male,19.4,0,2,12.5486,S
1,3,Third,female,16.4,0,0,11.2931,S
1,3,Third,female,1.0,0,0,16.7974,C
1,1,First,male,34.1,1,0,180.6545,S
0,2,Second,female,46.0,0,0,3.7171,S
0,3,Third,male,33.4,1,0,18.698,C
0,3,Third,female,25.3,1,1,23.3152,S
0,3,Third,male,11.1,0,0,11.1362,S
1,2,Second,male,33.2,0,0,19.2132,S
0,3,Third,male,39.2,0,0,17.1845,S
0,1,First,male,44.0,0,1,110.8957,C
0,2,Second,male,32.3,0,0,28.5706,S
0,1,First,male,26.8,0,0,127.7799,S
0,3,Third,male,37.1,1,0,3.1803,S
0,1,First,male,1.0,0,0,161.2408,Q
0,2,Second,male,35.4,1,1,36.1682,S
0,3,Third,male,61.0,1,0,14.8608,S
0,3,Third,female,3.9,0,0,1.9416,S
1,1,First,female,34.6,2,0,75.0498,S
1,1,First,male,37.9,5,0,99.1637,S
0,3,Third,male,18.5,0,0,1.554,C
0,2,Second,male,44.5,0,0,16.3182,S
0,1,First,male,44.6,0,2,25.9308,S
1,3,Third,female,27.1,0,0,19.0729,S
0,1,First,male,49.2,0,0,96.9445,S
0,3,Third,male,25.2,0,0,3.4578,S
1,2,Second,male,74.5,0,0,25.569,C
0,1,First,male,40.1,1,0,79.5923,S
1,1,First,female,40.7,0,0,124.2803,C
1,1,First,male,14.1,0,0,53.4605,S
0,1,First,male,30.4,0,0,21.4846,S
0,2,Second,male,,1,2,10.979,S
0,3,Third,female,6.3,0,0,7.6183,S
0,3,Third,male,1.0,0,1,13.1883,S
1,2,Second,female,30.5,0,0,22.9235,Q
0,3,Third,female,44.2,0,0,11.0928,C
0,3,Third,male,25.6,1,0,8.7668,C
0,3,Third,female,20.3,0,0,9.486,C
1,1,First,male,12.0,0,0,279.6025,S
1,2,Second,female,36.3,1,0,10.9806,S
0,2,Second,male,39.3,1,2,13.7464,S
0,1,First,male,13.1,1,1,340.9206,C
0,2,Second,male,45.9,0,0,26.4732,S
1,3,Third,male,35.7,1,0,0.7998,S
0,3,Third,male,40.9,0,0,21.4269,S
1,1,First,male,,1,2,13.017,S
0,3,Third,male,34.2,1,0,22.0906,C
0,2,Second,male,37.3,0,0,18.2575,S
0,3,Third,male,37.2,0,0,8.602,S
0,3,Third,female,1.0,0,0,29.0916,C
1,1,First,female,17.0,0,0,128.1793,S
0,3,Third,male,14.7,0,0,22.7299,S
0,3,Third,male,23.2,0,0,17.3492,S
0,3,Third,male,30.4,0,0,8.5556,S
0,3,Third,female,,0,0,19.1135,S
0,3,Third,male,40.6,0,0,25.0922,S
0,2,Second,female,46.1,0,2,22.7516,S
0,1,First,male,25.8,0,0,224.5281,S
0,3,Third,male,28.3,0,0,21.5049,S
0,1,First,female,26.1,1,0,100.5346,Q
0,3,Third,male,22.4,4,0,15.5149,S
1,2,Second,female,34.5,0,2,22.7841,S
0,2,Second,male,1.0,0,0,4.7339,S
0,2,Second,male,63.8,0,3,19.8291,S
0,3,Third,male,32.9,3,0,15.2119,Q
0,1,First,male,29.7,0,0,51.5454,S
1,1,First,male,65.0,1,0,110.3388,S
0,1,First,male,,0,0,85.662,S
0,3,Third,male,26.9,0,0,20.7369,C
0,3,Third,female,,0,2,19.6311,S
1,1,First,male,61.1,1,2,97.038,C
0,3,Third,male,23.5,1,0,0.6721,S
1,2,Second,female,32.1,0,2,44.2794,S
0,3,Third,male,41.9,0,1,11.5811,S
0,1,First,female,46.2,0,0,77.6909,S
0,3,Third,male,24.2,3,0,9.5748,S
0,3,Third,male,40.5,0,0,8.1159,S
1,3,Third,female,60.5,1,0,28.4406,S
0,1,First,male,42.4,0,0,192.1115,S
0,3,Third,male,26.6,0,2,17.4439,S
1,3,Third,female,27.4,0,0,11.925,S
1,3,Third,male,43.3,0,0,19.1912,S
1,3,Third,female,16.6,1,0,13.738,S
0,3,Third,female,21.1,1,0,11.0978,S
0,2,Second,female,8.5,1,0,25.3954,S
0,3,Third,male,8.4,0,0,8.5884,S
0,2,Second,male,22.8,1,0,24.2794,S
1,3,Third,female,24.2,0,0,15.0422,S
0,1,First,male,62.8,0,0,131.029,S
1,2,Second,male,37.5,0,0,12.9512,C
0,3,Third,male,12.2,0,0,20.1014,S
0,3,Third,male,14.8,0,0,3.9369,S
0,3,Third,male,44.2,0,0,7.2743,S
0,3,Third,male,40.8,0,0,7.7107,C
1,1,First,male,38.4,0,1,0.38,C
0,2,Second,male,23.8,0,0,34.2036,C
1,2,Second,female,45.7,0,2,8.4023,S
0,3,Third,male,11.1,1,1,6.0108,S
0,3,Third,male,30.5,0,0,25.5541,S
1,3,Third,male,56.8,0,0,7.2942,S
0,3,Third,male,27.9,1,0,11.1186,C
1,1,First,female,27.1,2,2,5.0617,S
1,3,Third,female,30.7,1,0,21.3295,S
0,3,Third,male,18.4,1,0,21.4674,C
0,3,Third,male,5.5,5,0,20.3895,S
1,1,First,male,47.8,0,0,125.9273,C
1,2,Second,male,45.6,3,0,21.9567,S
0,2,Second,male,25.6,2,0,14.1831,S
0,1,First,male,32.7,0,0,20.4324,S
0,3,Third,male,11.5,1,1,25.8991,S
1,2,Second,male,27.9,1,0,30.9425,S
0,3,Third,male,17.1,1,0,6.067,S
0,3,Third,male,10.8,2,0,13.3983,S
0,3,Third,male,51.5,0,2,9.9988,S
0,1,First,male,44.5,0,0,4.0004,C
1,1,First,male,46.0,0,2,97.8568,S
1,2,Second,male,42.4,1,0,15.5986,S
0,2,Second,male,40.8,1,1,8.617,S
0,2,Second,male,24.2,1,0,1.7713,Q
1,3,Third,female,28.8,1,0,2.638,C
0,2,Second,female,26.2,3,0,16.1715,Q
0,1,First,male,44.1,0,3,77.3626,Q
0,2,Second,male,34.8,3,2,9.6211,S
1,3,Third,female,19.6,0,0,19.5074,S
0,3,Third,male,6.4,0,0,12.3445,S
0,3,Third,male,27.0,0,0,18.7689,C
0,3,Third,male,22.1,0,0,11.1709,S
0,3,Third,male,1.0,0,0,5.1288,S
0,3,Third,male,32.1,0,0,14.1412,Q
0,1,First,male,51.5,0,0,14.4886,C
0,3,Third,male,60.4,1,0,18.3944,Q
0,3,Third,male,19.5,0,2,3.6285,S
0,2,Second,male,22.5,1,0,32.937,S
0,3,Third,male,9.5,0,0,9.6154,S
1,3,Third,female,27.9,0,0,23.6253,S
0,3,Third,male,27.8,0,0,1.7738,S
0,1,First,male,26.6,0,0,31.134,S
0,3,Third,male,22.6,1,0,16.8093,C
0,3,Third,female,1.0,0,0,24.705,S
1,1,First,male,51.0,1,0,213.9955,S
0,2,Second,male,19.2,0,0,21.5378,C
0,1,First,male,37.5,1,0,227.3442,S
1,1,First,female,18.0,4,0,61.4062,S
0,3,Third,female,16.8,0,0,23.9877,S
1,3,Third,female,21.1,0,0,3.5782,S
0,2,Second,male,29.8,0,0,26.4626,C
1,2,Second,male,36.7,0,0,9.442,S
0,3,Third,male,45.1,0,0,1.7841,S
0,2,Second,male,40.3,0,1,27.0668,Q
0,3,Third,female,38.5,1,0,0.1244,S
0,2,Second,male,50.2,3,0,26.5503,C
1,1,First,male,46.0,0,0,154.7037,S
1,3,Third,female,24.5,0,0,7.9868,Q
0,1,First,male,52.1,0,0,8.4217,S
1,3,Third,male,40.0,0,0,8.2581,S
0,2,Second,male,39.1,1,0,8.4444,C
1,3,Third,female,4.6,0,0,11.9879,C
0,3,Third,female,13.2,0,0,14.0209,S
0,3,Third,male,21.2,0,0,9.9399,S
1,1,First,female,48.9,0,0,214.6,S
0,3,Third,female,24.7,0,0,5.806,C
0,3,Third,female,40.9,0,0,26.9143,C
1,2,Second,female,48.4,0,0,7.4639,S
1,2,Second,male,46.8,0,0,21.9461,S
1,3,Third,female,41.9,1,1,24.8311,S
1,1,First,male,23.5,0,1,172.2459,C
1,3,Third,female,31.8,1,1,8.7974,S
0,3,Third,male,16.5,0,0,18.5507,S
1,1,First,female,14.9,0,0,116.852,Q
1,3,Third,female,21.0,1,1,7.6006,S
0,3,Third,male,43.5,1,0,19.1595,S
1,2,Second,female,36.5,0,0,45.2124,S
0,3,Third,male,53.2,0,0,17.717,S
1,1,First,male,40.5,1,2,128.1758,C
0,2,Second,male,64.3,2,0,29.738,S
0,3,Third,female,27.5,0,0,1.6098,S
0,1,First,male,38.3,0,0,119.8975,S
0,3,Third,male,7.1,0,0,2.8324,S
0,1,First,male,53.5,0,0,37.9888,S
1,3,Third,male,18.0,0,0,34.6194,S
0,1,First,male,28.9,0,0,64.2456,S
0,3,Third,female,,1,0,5.5983,S
0,3,Third,female,41.2,0,0,24.5258,Q
1,3,Third,female,40.8,1,0,3.5232,S
0,3,Third,male,19.9,1,0,8.5258,C
1,3,Third,female,24.3,1,0,25.4905,S
0,3,Third,male,24.2,0,2,13.4277,S
0,3,Third,male,36.0,0,0,2.616,Q
1,3,Third,male,,0,0,18.4399,S
0,3,Third,male,30.2,0,3,9.0353,C
0,3,Third,male,52.6,0,0,28.3985,S
1,1,First,female,50.6,0,2,36.7174,S
0,3,Third,male,21.7,0,0,23.5123,S
0,3,Third,male,36.6,0,0,30.757,S
0,1,First,male,61.9,2,0,17.6264,S
1,1,First,female,,1,0,68.9294,S
0,3,Third,male,41.6,0,0,16.8863,S
1,2,Second,male,30.4,2,0,9.8545,S
0,1,First,male,35.0,0,0,105.083,C
0,2,Second,male,38.1,0,0,18.076,S
0,2,Second,male,53.4,1,0,17.8141,C
0,3,Third,male,31.1,0,0,13.4894,S
0,3,Third,male,31.4,0,0,13.7126,S
0,3,Third,male,25.7,0,2,14.6388,S
0,3,Third,male,20.4,0,0,7.0117,Q
1,3,Third,male,22.7,0,1,7.4483,S
0,2,Second,female,31.9,0,0,19.4584,Q
0,3,Third,male,49.1,0,0,12.5524,S
0,1,First,male,34.6,0,0,49.7698,S
1,1,First,male,38.7,0,2,109.2673,C
0,3,Third,male,12.9,0,0,5.1476,Q
1,3,Third,female,35.0,1,1,5.6953,S
0,2,Second,male,49.1,1,2,17.3609,Q
0,3,Third,male,47.7,0,0,4.4388,S
0,3,Third,male,27.8,1,0,29.292,C
0,2,Second,male,38.0,0,0,21.2452,S
0,2,Second,female,27.9,0,0,23.298,S
0,1,First,male,45.4,0,0,46.308,S
0,3,Third,male,29.4,0,1,12.8422,C
1,2,Second,female,30.8,1,0,5.2017,S
1,3,Third,female,26.9,3,0,11.3018,S
